Date/Time,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Weather
12/18/2012 16:00,1.1,0.1,93,26,8,99.48,"Rain,Snow"
12/18/2012 17:00,1.2,0.3,94,22,8,99.48,"Rain,Snow"
12/18/2012 18:00,1.4,0.5,94,22,8,99.49,"Rain,Snow"
12/18/2012 19:00,1.4,0.7,95,15,8,99.53,Rain
12/18/2012 20:00,1.3,0.7,96,15,6.4,99.54,Drizzle
12/18/2012 21:00,1,0.6,97,13,3.2,99.58,"Drizzle,Snow,Fog"
12/18/2012 22:00,0.8,0.4,97,15,3.2,99.6,"Drizzle,Snow,Fog"
12/18/2012 23:00,0.8,0.5,98,11,3.2,99.64,"Drizzle,Snow,Fog"
12/19/2012 0:00,0.6,0.2,97,9,4,99.65,"Drizzle,Snow,Fog"
12/19/2012 1:00,0.5,0.1,97,7,6.4,99.71,"Drizzle,Snow,Fog"
12/19/2012 2:00,0.4,0.1,98,7,8,99.78,"Drizzle,Snow,Fog"
12/19/2012 3:00,0.4,0,97,9,4.8,99.82,"Drizzle,Snow,Fog"
12/19/2012 4:00,0.4,0,97,11,4,99.87,"Drizzle,Snow,Fog"
12/19/2012 5:00,0.3,-0.1,97,11,3.2,99.95,"Drizzle,Snow,Fog"
12/19/2012 6:00,0.4,-0.1,96,9,2.4,100.05,"Drizzle,Snow,Fog"
12/19/2012 7:00,0.4,0,97,11,3.2,100.15,"Drizzle,Snow,Fog"
12/19/2012 8:00,0.5,0.1,97,11,2.4,100.24,"Drizzle,Fog"
12/19/2012 9:00,0.6,0.2,97,13,2.4,100.33,"Drizzle,Fog"
12/19/2012 10:00,0.6,0.2,97,15,2.4,100.42,"Drizzle,Fog"
12/19/2012 11:00,0.8,0.2,96,11,9.7,100.44,Fog
12/19/2012 12:00,0.8,0,94,17,19.3,100.53,Cloudy
12/19/2012 13:00,1,-0.2,92,11,24.1,100.61,Cloudy
12/19/2012 14:00,1.1,-0.1,92,13,24.1,100.72,Cloudy
12/19/2012 15:00,1.3,-0.1,90,9,24.1,100.83,Drizzle
12/19/2012 16:00,1.3,-0.4,88,7,24.1,100.96,Cloudy
12/19/2012 17:00,1.1,-0.2,91,6,16.1,101.04,Drizzle
12/19/2012 18:00,1.2,0.1,92,9,9.7,101.15,"Drizzle,Snow"
12/19/2012 19:00,0.8,0.3,96,11,4.8,101.26,"Snow,Fog"
12/19/2012 20:00,0.7,0.1,96,11,6.4,101.32,"Snow,Fog"
12/19/2012 21:00,0.6,-0.1,95,13,11.3,101.38,Snow
12/19/2012 22:00,0.6,-0.5,92,9,25,101.42,Cloudy
12/19/2012 23:00,0.6,-0.9,90,13,25,101.5,Snow
12/20/2012 0:00,0.4,-2.1,83,20,25,101.57,Snow
12/20/2012 1:00,0.1,-2.2,84,17,25,101.6,Cloudy
12/20/2012 2:00,-0.2,-2.4,85,19,25,101.68,Cloudy
12/20/2012 3:00,-0.5,-2.9,84,17,25,101.69,Cloudy
12/20/2012 4:00,-0.7,-3.4,82,15,25,101.72,Cloudy
12/20/2012 5:00,-1.1,-3.9,81,13,25,101.78,Cloudy
12/20/2012 6:00,-1.6,-4.2,82,15,25,101.82,Snow
12/20/2012 7:00,-1.8,-4.9,79,20,25,101.88,Cloudy
12/20/2012 8:00,-1.9,-4.6,82,15,24.1,101.91,Cloudy
12/20/2012 9:00,-1.7,-4.5,81,13,24.1,101.98,Cloudy
12/20/2012 10:00,-1.4,-4.2,81,7,24.1,101.97,Cloudy
12/20/2012 11:00,-1.1,-4,81,4,24.1,101.92,Snow
12/20/2012 12:00,-1,-3.9,81,6,24.1,101.83,Cloudy
12/20/2012 13:00,-0.9,-4,79,15,24.1,101.65,Cloudy
12/20/2012 14:00,-1,-4.3,78,15,24.1,101.62,Cloudy
12/20/2012 15:00,-0.5,-3.8,78,13,24.1,101.55,Cloudy
12/20/2012 16:00,-0.3,-3.3,80,13,24.1,101.56,Cloudy
12/20/2012 17:00,-0.3,-3.2,81,19,25,101.38,Mostly Cloudy
12/20/2012 18:00,0.2,-3,79,19,25,101.25,Mostly Cloudy
12/20/2012 19:00,0.3,-2.7,80,17,25,101.23,Mostly Cloudy
12/20/2012 20:00,0.1,-2.4,83,20,25,101.12,Mostly Cloudy
12/20/2012 21:00,0.7,-2.3,80,22,25,101,Cloudy
12/20/2012 22:00,1.1,-2.4,77,20,25,100.88,Cloudy
12/20/2012 23:00,1.2,-2.1,79,28,25,100.69,Cloudy
12/21/2012 0:00,1.9,-2.1,75,26,25,100.6,"Rain,Snow Grains"
12/21/2012 1:00,1.1,-0.7,88,17,6.4,100.47,"Rain,Snow,Ice Pellets"
12/21/2012 2:00,1,-0.3,91,20,6.4,100.35,"Rain,Snow"
12/21/2012 3:00,0.9,0,94,28,4.8,100.12,"Rain,Snow,Ice Pellets"
12/21/2012 4:00,1.1,-0.1,92,22,6.4,99.98,"Rain,Snow,Ice Pellets"
12/21/2012 5:00,1.3,0.1,92,26,6.4,99.85,"Rain,Snow,Ice Pellets"
12/21/2012 6:00,1,0,93,22,4,99.76,"Rain,Snow"
12/21/2012 7:00,0.9,-0.1,93,32,6.4,99.64,"Rain,Snow"
12/21/2012 8:00,0.8,-0.2,93,32,2.4,99.5,"Rain,Snow"
12/21/2012 9:00,0.8,-0.2,93,33,2.4,99.38,"Rain,Snow"
